Team,Played,Goal Difference,Points,League Point
Ajax,18,42,44,35.75
Atalanta,17,18,31,70.653
Atlético,18,9,32,102.283
Barcelona,18,26,39,102.283
Bayern,17,24,33,74.784
Benfica,14,32,39,49.449
Chelsea,21,7,36,90.462
Club Brugge,20,38,49,37.9
Crvena zvezda,20,32,55,25.5
Dinamo Zagreb,19,28,47,24.875
Dortmund,17,17,30,74.784
Galatasaray,17,8,27,33.6
Genk,21,2,31,37.9
Internazionale,17,22,42,70.653
Juventus,17,14,42,70.653
Leipzig,17,28,37,74.784
Leverkusen,17,2,28,74.784
Liverpool,19,33,55,90.462
Lokomotiv Moskva,19,4,34,45.449
LOSC,19,3,31,59.248
Lyon,19,11,26,59.248
Man. City,21,32,44,90.462
Napoli,17,5,24,70.653
Olympiacos,16,26,38,26.3
Paris,18,33,45,59.248
Real Madrid,18,21,37,102.283
Salzburg,18,48,44,32.925
Shakhtar Donetsk,18,41,50,36.1
Slavia Praha,20,41,54,27.3
Tottenham,21,6,30,90.462
Valencia,18,3,28,102.283
Zenit,19,28,45,45.449
