Team,Played,Goal Difference,Points,League Point
AEK,14,15,27,27.6
Ajax,17,52,46,32.433
Atlético,17,13,34,103.569
Barcelona,17,29,37,103.569
Bayern,17,18,36,71.927
Benfica,14,18,32,48.232
Club Brugge,21,26,41,39.9
Crvena zvezda,21,43,59,22.25
CSKA Moskva,17,15,30,50.549
Dortmund,17,26,42,71.927
Galatasaray,17,9,29,34.6
Hoffenheim,17,9,25,71.927
Internazionale,19,17,39,74.725
Juventus,19,27,53,74.725
Liverpool,20,40,54,85.462
Lokomotiv Moskva,17,6,28,50.549
Lyon,18,9,32,58.498
Man. City,20,38,47,85.462
Man. United,20,9,35,85.462
Monaco,18,-13,13,58.498
Napoli,19,20,44,74.725
Paris,17,40,47,58.498
Plzen,19,14,45,28.675
Porto,14,21,36,48.232
PSV,117,52,48,32.433
Real Madrid,16,5,29,103.569
Roma,19,10,30,74.725
Schalke,17,-4,18,71.927
Shakhtar Donetsk,18,34,45,38.9
Tottenham,21,25,48,85.462
Valencia,17,1,22,103.569
Young Boys,18,37,49,26.9
