Team,Played,Goal Difference,Points,League Point
Atlético Madrid,17,17,36,106.998
Barcelona,17,38,45,106.998
Real Madrid,16,16,31,106.998
Sevilla,17,-2,29,106.998
Chelsea,21,25,45,79.605
Liverpool,22,25,44,79.605
Manchester City,21,49,59,79.605
Manchester United,22,29,47,79.605
Tottenham Hotspur,20,19,37,79.605
Juventus,19,33,47,76.249
Napoli,19,29,48,76.249
Roma,18,17,39,76.249
Bayern Munich,17,26,41,71.427
Borussia Dortmund,17,15,28,71.427
RB Leipzig,17,2,28,71.427
Monaco,19,27,41,56.415
Paris Saint-Germain,19,43,50,56.415
CSKA Moscow,20,11,35,53.382
Spartak Moscow,20,13,37,53.382
Benfica,15,16,31,47.248
Porto,15,33,39,47.248
Sporting CP,15,23,39,47.248
Shakhtar Donetsk,19,20,42,41.133
Anderlecht,21,5,40,38.5
Besiktas,17,13,30,35.8
Basel,19,23,38,30.2
Feyenoord,17,21,32,29.749
Celtic,22,33,51,18.625
APOEL,15,23,33,21.55
Maribor,18,21,43,14.5
Olympiacos,15,16,32,28.6
Qarabag,14,19,37,19.125
